EVA #,Country,Crew,Vehicle,Date,Duration,Purpose
1,USA,Ed White,Gemini IV,06/03/1965,0:36,First U.S. EVA. Used HHMU and took  photos.  Gas flow cooling of 25ft umbilical overwhelmed by vehicle ingress work and helmet fogged.  Lost overglove.  Jettisoned thermal gloves and helmet sun visor
2,USA,David Scott,Gemini VIII,,0:00,HHMU EVA cancelled before starting by stuck on vehicle thruster that ended mission early
3,USA,Eugene Cernan,Gemini IX-A,06/05/1966,2:07,"Inadequate restraints, stiff 25ft umbilical and high workloads exceeded suit vent loop cooling capacity and caused fogging.  Demo called off of tethered astronaut maneuvering unit"
4,USA,Mike Collins,Gemini X,07/19/1966,0:50,Standup EVA.  UV photos of stars.  Ended by eye irritation that impaired vision 
5,USA,Mike Collins,Gemini X,07/20/1966,0:39,Retrieved MMOD experiment from docked Agena.  Used HHMU. Lost camera and retrieved experiment. EVA ended early by unrelated spacecraft problem
6,USA,Richard Gordon,Gemini XI,09/13/1966,0:44,"Attached tether between Agena and Gemini.  EVA ended early due to fatigue, overheating & eye sweat"
7,USA,Richard Gordon,Gemini XI,09/14/1966,2:10,Standup EVA.  Took star photos. Agena tether ops
8,USA,Buzz Aldrin,Gemini XII,11/12/1966,2:29,Standup EVA.  Science tasks.  Took star photos
9,USA,Buzz Aldrin,Gemini XII,11/13/1966,2:06,Attached tether between Agena and Gemini.  UV photos of stars.  Waist tether and Dutch shoe eval
10,USA,Buzz Aldrin,Gemini XII,11/14/1966,0:55,Standup EVA.  Jettisoned equipment.  Took photos
11,USA,David Scott,Apollo 9,03/06/1969,0:47,Standup EVA from crew module.  Retrieved thermal experiment samples
12,USA,Russ Schweickart,Apollo 9,03/06/1969,0:51,Lunar module based.  Took photos.  Evaluated foot restraint and handrails.  Retrieved thermal experiment samples.  First use of PLSS followed by recharge demo after EVA
13,USA,Neil Armstrong       Buzz Aldrin,Apollo 11,07/20/1969,2:32,First to walk on the moon.  Some trouble getting out small hatch.  46.3 lb of geologic material collected.  EASEP seismograph and laser reflector exp deployed.  Solar wind exp deployed & retrieved.  400 ft (120m) circuit on foot.  Dust issue post EVA
14,USA,Neil Armstrong       Buzz Aldrin,Apollo 11,07/20/1969,0:05,Jettison suit backpacks and equip to lighten ascent
15,USA,Allen Bean               Pete Conrad,Apollo 12,11/19/1969,3:39,Collected 75.6 lb of geologic material.  ALSEP exp deployed.  6000 ft (1800m) circuit on foot
16,USA,Allen Bean               Pete Conrad,Apollo 12,11/20/1969,3:48,Retrieved parts of Surveyor 3 spacecraft.   
17,USA,Allen Bean               Pete Conrad,Apollo 12,11/20/1969,0:05,Jettison suit backpacks and equip to lighten ascent
18,USA,Ed Mitchell           Alan Shepard,Apollo 14,02/05/1971,4:48,Collected 94.4 lb of geologic material.  ALSEP and laser reflector exp deployed.  Hiked up to 0.9 miles (1.5km) from lunar module.  Used MET rickshaw
19,USA,Ed Mitchell           Alan Shepard,Apollo 14,02/06/1971,4:34,Sought but did not quite reach crater.  Golf demo
20,USA,Ed Mitchell           Alan Shepard,Apollo 14,02/06/1971,0:05,Jettison suit backpacks and equip to lighten ascent
21,USA,David Scott,Apollo 15,07/30/1971,0:33,Standup EVA to scout and photograph lunar surface before traverse
22,USA,David Scott                   James Irwin,Apollo 15,07/31/1971,6:34,Collected 169 lb of geologic material.  ALSEP exp deployed.  First use of the lunar rover.  Covered 6.2 mile (10.3 km) circuit
23,USA,David Scott                   James Irwin,Apollo 15,08/01/1971,7:12,
24,USA,David Scott                   James Irwin,Apollo 15,08/02/1971,4:49,
25,USA,David Scott                   James Irwin,Apollo 15,08/02/1971,0:05,Jettison suit backpacks and equip to lighten ascent
26,USA,Al Worden,Apollo 15,08/05/1971,0:39,First transearth EVA.  Retrieved 2 camera film cassettes
27,USA,John Young        Charles Duke,Apollo 16,04/21/1972,7:11,Collected 208 lb of rock/dust (41lb this day). ALSEP & solar wind experiments deployed. Assembled and used lunar rover (4.2 km).  
28,USA,John Young        Charles Duke,Apollo 16,04/22/1972,7:23,Collected 82 lb of rock/dust. Drove rover 11.5 km
29,USA,John Young        Charles Duke,Apollo 16,04/23/1972,5:40,Collected 90 lb of rock/dust.  Drove rover 27.1 km
30,USA,John Young        Charles Duke,Apollo 16,04/23/1972,0:04,Jettison suit backpacks and equip to lighten ascent
31,USA,Tom Mattingly,Apollo 16,04/25/1972,1:23,Transearth EVA to retrieve camera film and expose microbial response experiment
32,USA,Harrison Schmidt   Eugene Cernan   ,Apollo 17,12/11/1972,7:12,Collected 243 lb of geologic material.  ALSEP exp deployed.   8 seismic explosive charges placed for later use.  Used lunar rover to travel 11.4 miles (19 km) circuit with max range of 4.9 miles from lunar module.
33,USA,Harrison Schmidt   Eugene Cernan   ,Apollo 17,12/12/1972,7:37,
34,USA,Harrison Schmidt   Eugene Cernan   ,Apollo 17,12/13/1972,7:16,
35,USA,Harrison Schmidt   Eugene Cernan   ,Apollo 17,12/13/1972,0:08,Jettison suit backpacks and equip to lighten ascent
36,USA,Ron Evans,Apollo 17,12/17/1972,1:07,Transearth EVA to retrieve camera film
37,USA,Paul Weitz           Joe Kerwin,Skylab 2,05/25/1973,0:40,"Standup EVA.  While based in hatch of just arrived hovering spacecraft, failed to pull/pry free solar panel held by cm wide scrap of MMOD shield"
,USA,Paul Weitz           Joe Kerwin      Pete Conrad,Skylab 2,05/25/1973,,"After normal docking failed, all donned suits, depressurized spacecraft, opened forward tunnel hatch and removed the docking probe's back plate to bypass some electrical connections"
38,USA,Pete Conrad           Joe Kerwin,Skylab 2,06/07/1973,3:25,"Without body restraint, initially unable to attach 25ft pole/cutter jaws to aluminum scrap holding jammed solar panel.  Improvised body restraint with suit tether to unexpected vehicle U bolt for 3 pt stance to enable pole positioning and cut.  After debris cut, attached pole as translation path to solar array.  Rope hooked between airlock solar array cover structure as means to overcome frozen hydraulic damper of solar array hinge.  Both crew stood under rope and pushed until array freed suddenly which caused both crew to drift free until hauled themselves back in via umbilicals.  Hardest task was restowing umbilicals into stow sphere at end of day"
39,USA,Pete Conrad            Paul Weitz,Skylab 2,06/19/1973,1:36,Retrieved Apollo Telescope Mount film and repaired power module relay with hammer blow.  Cleaned camera lens
40,USA,Owen Garriott          Jack Lousma,Skylab 3,08/06/1973,6:31,Constructed/deployed twin-pole thermal shield to reduce internal spacecraft temperatures.  Loaded telescope camera with film.  Inspected previously leaking thrusters.  Restored telescope door motion and deployed meteroid sampling exp
41,USA,Owen Garriott          Jack Lousma,Skylab 3,08/24/1973,4:31,Installed cable for backup gyro package.  Exchanged telescope camera film.  Deployed parasol samples
42,USA,Owen Garriott         Allen Bean,Skylab 3,09/22/1973,2:41,"Recovered telescope camera film, material samples and meteroid exp.  Cleaned camera lens"
43,USA,Ed Gibson                   Bill Pogue,Skylab 4,11/22/1973,6:33,Photographed earth atmosphere.  Deployed spacecraft contamination measurement exp.  Reloaded telescope camera film.  Repaired microwave sensor antenna.  Pinned open telescope door.  Retrieved meteroid sample collector
44,USA,Gerald Carr                Bill Pogue,Skylab 4,12/25/1973,7:01,"Photographed comet Kohoutek, reloaded telescope camera film, pinned open failed solar UV exp door.  Installed solar UV/X-Ray camera.  Repositioned jammed filter wheel in x-ray telescope"
45,USA,Gerald Carr                 Ed Gibson ,Skylab 4,12/29/1973,3:29,Photographed comet Kohoutek.  Retrieved sample of meteroid protection cover
46,USA,Gerald Carr                 Ed Gibson ,Skylab 4,02/03/1974,5:19,Retrieved telescope camera film and installed meteroid collection experiment. Gibson reported coolant leakage from EVA life support system
,USA,Bill Lenoir                 Joe Allen,STS-5,11/14/1982,0:00,Suit fan and O2 regulator failures prevented first Shuttle EVA.  No spare suit onboard
47,USA,Story Musgrave       Don Peterson,STS-6,04/07/1983,4:17,First shuttle EVA.  New suits tested.  Basic orbiter/payload contingency tasks practiced.  Winch failed to retract
48,USA,Bob Stewart        Bruce McCandless,STS-41B,02/07/1984,5:56,Practiced Solar Max repair. Used MMU and MFR for first time.  PLB camera D changed out.  Slidewire bracket pip-pin pulled free by crew tether inadvertantly.  SPAS switch adjusted
49,USA,Bob Stewart        Bruce McCandless,STS-41B,02/09/1984,6:09,Practiced MMU docking with fixed target.  Simple satellite refueling demo (freon).  Foot restraint lost overboard and recovered.  
50,USA,James Van Hoften      George Nelson,STS-41C,04/08/1984,2:53,Failed to dock MMU to Solar Max satellite due to thermal grommet interference.  Manual grasp of solar array increased satellite instability 
51,USA,James Van Hoften      George Nelson,STS-41C,04/11/1984,7:05,"After ground cmd stabilization and RMS grapple, Solar Max repaired (attitude control and main elec boxes replaced, MEB not designed for replacement).  Small trash bag lost due to inadvertment release of MWS lock.  MMU engineering test performed"
52,USA,Dave Leestma          Kathy Sullivan,STS-41G,10/11/1984,3:29,First U.S. female EVA.  Demonstrated hydrazine refueling.  Aligned gimbals of Ku antenna  for IV commanded locking.  SIRB latching assisted.  Recovered lost airlock valve cap.  
53,USA,Joe Allen                    Dale Gardner,STS-51A,11/12/1984,6:02,PALAPA retrieval.  MMU used.  Had to use manual satellite restraint when structure with RMS grapple fixture failed to attach due to unexpected structure on satellite.
54,USA,Joe Allen                    Dale Gardner,STS-51A,11/14/1984,5:48,WESTAR retrieval.  MMU used.  Recovered untethered torque wrench (twice) and draeger tube (once).  Lost power tool
55,USA,Dave Griggs           Jeff Hoffman,STS-51D,04/16/1985,3:10,"""Flyswatter"" attached to end of RMS to attempt to activate LEASAT/SYNCOM IV sequence start lever.  Lever tripped but satellite was actually failed elsewhere.  Griggs inadvertently went out over wing"
56,USA,James Van Hoften   Bill Fisher,STS-51I,08/31/1985,7:09,LEASAT/SYNCOM IV repairs started.  RMS failure to single joint mode forced second EVA.  Lost power tool overboard.
57,USA,James Van Hoften   Bill Fisher,STS-51I,09/01/1985,4:29,LEASAT/SYNCOM IV repairs completed.  Accidently reused depleted LiOH cans from 1st EVA.
58,USA,Jerry Ross             Woody Spring,STS-61B,11/29/1985,5:38,EASE/ACCESS truss assembly and stowage demos.  Deployed radar target
59,USA,Jerry Ross             Woody Spring,STS-61B,12/01/1985,6:48,"EASE/ACCESS truss assembly, stowage and handling demos.  Simulated cable routing with rope reel and heat pipe handling with free EASE beams."
,USA,Bruce McCandless   Kathy Sullivan,STS-31,04/24/1990,0:00,In suits in airlock at 5psi awaiting GO to manually deploy stuck solar array.  Waived off when auto sys worked
60,USA,Jerry Ross                  Jay Apt,STS-37,04/07/1991,4:26,"Freed stuck GRO high gain antenna. Started Space Station demos (recorded crew loads, variable tension rope translation, dogbone handrails)."
61,USA,Jerry Ross                  Jay Apt,STS-37,04/08/1991,6:00,"More Space Station demos (evals of 3 different carts and a tether shuttle, RMS translation rates and loads).  Time short for all RMS/EVA tests"
62,USA,Pierre Thuot          Rick Hieb,STS-49,05/10/1992,3:43,Capture bar/grapple fixture attach failed 3 times
63,USA,Pierre Thuot          Rick Hieb,STS-49,05/11/1992,5:30,"Though more careful to induce less loads, capture bar/grapple fixture attach failed 5 times"
64,USA,Thuot/Hieb/Akers,STS-49,05/13/1992,8:29,3 man EVA.  Manually capture/repair INTELSAT
65,USA,Tom Akers          Kathy Thornton,STS-49,05/14/1992,7:44,"ASEM Space Station assembly demos (module to truss mating, updated HHMU self rescue device).  Aligned gimbals of Ku antenna for IV commanded locking "
66,USA,Greg Harbaugh      Mario Runco,STS-54,01/17/1993,4:28,Evaluate training vs. flight differences (DTO 1210).   Encumbered translations.  Foot restraint ingress.  Inspected/avoided misfired IUS tilt table superzip.  Almost lost untethered IUS tilt table equipment.
67,USA,David Low                Jeff Wisoff,STS-57,06/25/1993,5:50,"First egress/ingress involving tunnel adapter.  Pushed on 2 EURECA antennas to aid stowage.  Evaluated training vs. flight differences (DTO 1210, large mass handling from RMS, high torque bolts, ORU fine align from RMS with active orbiter jets)  "
68,USA,Carl Walz                 Jim Newman ,STS-51 ,09/16/1993,7:05,Evaluate training vs. flight differences (DTO 1210).  Evaluated HST servicing mission tools.  Tool box door jammed temporarily preventing closure
69,USA,Story Musgrave      Jeff Hoffman ,STS-61 /    HST-1,12/04/1993,7:54,"HST servicing (RSU, ECU, solar array prep).  RSU bay doors difficult to close."
70,USA,Tom Akers          Kathy Thornton,STS-61 /    HST-1,12/05/1993,6:36,HST servicing (2 solar arrays).   One jettisoned due to pre-EVA damage
71,USA,Story Musgrave      Jeff Hoffman ,STS-61 /    HST-1,12/06/1993,6:47,HST servicing (WFPC 1/2)
72,USA,Tom Akers          Kathy Thornton,STS-61 /    HST-1,12/07/1993,6:50,HST servicing (HSP/COSTAR)
73,USA,Story Musgrave      Jeff Hoffman ,STS-61 /    HST-1,12/08/1993,7:21,"HST servicing (SADE, magnetometers, GHRS)"
74,USA,Mark Lee                Carl Meade ,STS-64 ,09/16/1994,6:51,"SAFER self rescue demo, test new tools"
75,USA,Mike Foale        Bernard Harris,STS-63,02/09/1995,4:39,"Cold environment eval, large object handling eval using SPARTAN (EDFT-01)"
76,USA,Jim Voss                  Mike Gernhardt,STS-69,09/16/1995,6:46,ISS task board with worksite interface samples.  Elec cuff checklist demo.  Thermal cube experiment
77,USA,Leroy Chiao               Dan Barry,STS-72,,6:09,ISS umbilical tests with robotically transported portable work platform.  Elec cuff checklist demo.  
78,USA,Leroy Chiao          Winston Scott,,,6:53,"ISS thermal comfort test, cable tray test, APFR load test.  Thermal cube experiment"
79,USA,Linda Godwin           Rich Clifford,STS-76,,6:03,Deploy 4 MEEP materials experiments on Mir docking module.  Test US/Russian tether and PFR.  Retrieve camera from docking module exterior
,USA,Tom Jones       Tammy Jernigan,STS-80,,0:00,Loose screw jammed in hatch latch actuator prevented airlock egress
80,USA,Mark Lee               Steve Smith,STS-82 /      HST-2,,6:42,"HST servicing (first STS external airlock sortie, depress gas flow disturbed HST solar arrays, remove/install GHRS/STIS, FOS/NICMOS )"
81,USA,Greg Harbaugh      Joe Tanner,STS-82 /      HST-2,,7:27,"HST servicing (remove/install FGS-1/FGS-1R, replace ESTR-2, install OCE enhancement kit)"
82,USA,Mark Lee               Steve Smith,STS-82 /      HST-2,,7:11,"HST servicing (remove/install DUI-2/DIU-2R, ESTR-1/SSR, replace RWA)"
83,USA,Greg Harbaugh      Joe Tanner,STS-82 /      HST-2,,6:34,"HST servicing (replace SADE, install MSS cover, retrieve degraded MLI sample, install MLI patches)"
84,USA,Mark Lee               Steve Smith,STS-82 /      HST-2,,5:17,HST servicing (unscheduled EVA to add protective covers over degrading aluminized insulation)
85,USA,Scott Parazynski       Vladimir Titov,STS-86,,5:01,Retrieve 4 MEEP materials experiments on Mir docking module.  Test US/Russian tethers and PFR.  US safety tether would not retract.  Deploy Spektr solar array base sealing cap on docking module. 
86,USA,Winston Scott      Takao Doi,STS-87,11/24/1997,7:43,Manual capture and berthing (with RMS aid) of Spartan.  Test of ISS crane with large battery/carrier.  Test of ISS power tool and torque multiplier
87,USA,Winston Scott      Takao Doi,STS-87,12/03/1997,4:59,Test of ISS crane with small ORUÂs.  Deploy and capture of SPRINT/AERCAM robotic freeflyer
88,USA,Jerry Ross              Jim Newman,STS-88/2A,12/07/1998,7:21,Connect PMA1-FGB power cables and PMA1/2-Node1 APAS cables
89,USA,Jerry Ross              Jim Newman,STS-88/2A,12/09/1998,7:02,Install 2 early comm antennas and cables
90,USA,Jerry Ross              Jim Newman,STS-88/2A,12/12/1998,6:59,"Deploy 2 US foot restraints and a tool stanchion.  Aid release of 2 FGB Toru antennas, install FGB aft handrail and reinstall FGB Komplast panel.  SAFER self rescue demo (DTO 689)"
91,USA,Tammy Jernigan     Dan Barry,STS-96/2A.1,05/29/1999,7:55,"Transfer and externally install US and Russian cargo cranes, 2 common foot restraints, 3 EVA tool bags.  Lost retractable equip tether"
92,USA,Steve Smith           John Grunsfeld,STS-103/       HST-3A,12/22/1999,8:15,HST servicing (RSU gyros and volt/temp improvement kits for batteries)
93,USA,Mike Foale         Claude Nicollier,STS-103/       HST-3A,12/23/1999,8:10,HST servicing (486 computer and fine guidance sensor)
94,USA,Steve Smith           John Grunsfeld,STS-103/       HST-3A,12/24/1999,8:08,HST servicing (transmitter and solid state recorder)
95,USA,Jeff Williams            Jim Voss,STS-101/2A.2a,05/21/2000,6:44,Resecure and reorient U.S. crane.  Assemble complete Russian crane and transfer from PMA 2 to PMA 1.  Replace stbd ECOM antenna.  Install 8 handrails on Node 1 (APAS cable blocked one nominal site).  Cables cleared from Node 1 SVS targets. Lost PAD
96,USA,Edward Lu              Yuri Malenchecko,STS-106/2A.2b,09/11/2000,6:14,"SM docking target deployment completed manually.  Attitude control magnetometer and nearby translation aid gap spanner installed.  SM-FGB cables routed, secured and connected (EPS, TV-C&DH and Orlan comm).   Photos captured of partially deployed SM solar array section to aid future resolution.  "
97,USA,Leroy Chiao               Bill McArthur,STS-92/3A,10/15/2000,6:28,Z1 SASA antenna deployed.  DDCU thermal shrouds removed/stowed. One tool box relocated from PLB to Z1.  Z1-Node1 cables mated.  SGANT antenna dish and boom deployed.
98,USA,Jeff Wisoff                Mike Lopez-Alegria,STS-92/3A,10/16/2000,7:07,PMA3 released from PLB.  PMA3-Node1 cables mated.  
99,USA,Leroy Chiao               Bill McArthur,STS-92/3A,10/17/2000,6:48,Z1 DDCU-HP (2) transferred from PLB to Z1.  Z1 keel relocated.  Z1-P6 launch locks released.  PMA2-Z1 cables reconfigured.  2nd tool box relocated from PLB to Z1.  Airlock depress valve cover lost
100,USA,Jeff Wisoff              Mike Lopez-Alegria,STS-92/3A,10/18/2000,6:56,Z1 FRGF stowed and utility tray deployed.  Tethered demo of self rescue SAFER hardware (DTO 689).
101,USA,Joe Tanner         Carlos Noriega,STS-97/4A,12/03/2000,7:33,Assisted P6-Z1 mechanical mating.  Mated 9 Z1-P6 electrical power cables. Released 2 sets of solar array blanket boxes and gimbal linkages.  Used tensioning devices to secure 3 of 4 gimbal linkage bolts.  Released PV radiator launch restraints and thermal sensors.
102,USA,Joe Tanner         Carlos Noriega,STS-97/4A,12/05/2000,6:37,Removed/stowed Z1's ACBSP and DDCU-HP thermal shrouds.  Relocated SASA antenna from Z1 to IEA.  Inspected tensioning mechanism of incompletely deployed solar array.  Rerouted Z1 patch panel cables.  Mated 4 Z1-P6 ammonia lines.  Disconnected PMA2 cables from Node1.  Stowed EPS cable bag on P6.  Released P6 aft radiator launch restraints and thermal sensors.  Installed FGB-PMA1 jumper cables.  Stowed Z1 WIS antenna #1.
103,USA,Joe Tanner         Carlos Noriega,STS-97/4A,12/07/2000,5:10,Reseated solar array tensioning cable to allow full deployment.  Installed FPP antennas on IEA and Node1. Installed Node1 centerline camera cable.  Released P6 stbd radiator launch restraints and thermal sensors.  Stowed P6 and Z1 WIS antennas.
104,USA,Tom Jones             Bob Curbeam,STS-98/5A,02/10/2001,7:34,Disconnect lab-Shuttle LTA heater cable.  Remove and stow lab module CBM cover.  Connect 4 ammonia lines and elec cables btw lab and Z1.   M3 QD leaked NH3 on crew to force bakeout cleanup
105,USA,Tom Jones             Bob Curbeam,STS-98/5A,02/12/2001,6:50,"Connect lab-PMA2 APAS cables.  Install lab vent valve, trunnion pin covers, handrails, PDGF, VSC and window cover.  Wrong bolt heads on vent cover"
106,USA,Tom Jones             Bob Curbeam,STS-98/5A,02/14/2001,5:25,Spare SASA antenna installed on Z1.  Demo of incapacitated crew rescue.
107,USA,Jim Voss                 Susan Helms,STS-102/5A.1,03/10/2001,8:56,Disconnected PMA3 from Node1 electrical cables.  Installed cradle on lab in prep for SSRMS and S0 truss.  Installed rigid umbilical.  Last 2 hours spent in airlock waiting on RMS install of MPLM.  PAD lost
108,USA,Paul Richards       Andy Thomas,STS-102/5A.1,03/12/2001,6:21,"Removed and stowed port early comm antenna.  Installed the external stowage platform on a lab trunnion.  Transfered a pump flow control system ORU ready for future replacement.  Inspected P6 solar array 4 bar linkage, FPP, NPV and connector J612"
109,USA,Scott Parazynski       Chris Hadfield,STS-100/6A,04/22/2001,7:10,"Transfered and installed UHF antenna on lab.  Released SSRMS launch restraints, unfold booms and secure joints.  Connected cables from lab to SSRMS pallet for initial robot arm ops"
110,USA,Scott Parazynski       Chris Hadfield,STS-100/6A,04/24/2001,7:40,Connected 8 cables for lab based SSRMS ops.  Demated cables btw lab and SSRMS pallet.  Removed and stowed stbd early comm antenna.  1.5 hours spent in fruitless search for early comm conn parts under CBM cover.  Transfered spare DCSU to lab stowage pallet
111,USA,Mike Gernhardt          Jim Reilly,STS-104/7A,07/14/2001,5:59,Shuttle based EVA.  Airlock-Node1 CBM cover removed.  LTA heater cable demated.  Waited on umbilicals for airlock transfer and install by SSRMS. Connected airlock heater cable. 
112,USA,Mike Gernhardt          Jim Reilly,STS-104/7A,07/17/2001,6:29,Shuttle based EVA.  3 of 4 high pressure gas tanks installed on airlock
113,USA,Mike Gernhardt          Jim Reilly,STS-104/7A,07/20/2001,4:02,First EVA based from ISS joint airlock.  4th high pressure gas tank installed.  Installed thermal cover over airlock FRGF and several airlock handrails.  Mated FGB-airlock cable for Russian suit comm.  Inspected BMRRM and FPP on top of P6.
114,USA,Dan Barry             Patrick Forrester,STS-105/7A.1,08/16/2001,6:16,Shuttle based EVA.  Installed early ammonia servicer on P6 truss and mated its cables.  Attached 2 MISSE materials experiments to airlock exterior. 
115,USA,Dan Barry             Patrick Forrester,STS-105/7A.1,08/18/2001,5:29,Shuttle based EVA.  Installed 10 handrails on Lab.  Attached LTA heater cables on lab for later use with S0.
116,USA,Linda Godwin         Dan Tani,STS-108/UF1,12/10/2001,4:12,Shuttle based EVA.  Installed 2 beta gimbal assy (BGA) thermal blankets.  Retrieved SASA shroud.  Inspected DCSU.  Failed attempt to lock 4th leg of BGA four bar assembly.
257,Russia,Vladimir Titov          Musa Manarov,Soyuz TM-4    Mir,,4:12,"Complete replacement of telescope detector module, use new Orlan DMAÂs"
117,USA,Carl Walz                 Dan Bursch,Incr-4,02/20/2002,5:49,"First use of the Quest airlock without Shuttle docked.  8A preps included tool retrieval/relocation, DDCU checkout, Z1 Shroud removal, Grapple Fixture Adapter removal, securing HPGT latches, photos of MISSE & MMOD hits.  "
118,USA,John Grunsfeld      Rick Linnehan,STS-109/          HST-3B,03/04/2002,7:01,HST servicing.  Replaced 1 of 2 solar arrays and its diode box. 
119,USA,Jim Newman             Mike Massimino,STS-109/          HST-3B,03/05/2002,7:16,HST servicing.  Replaced 2nd solar array and its diode box.   Replaced gyro reaction wheel assy #1.
120,USA,John Grunsfeld      Rick Linnehan,STS-109/          HST-3B,03/06/2002,6:48,HST servicing.  Replaced power control unit (PCU).  HST handrails inspected.
121,USA,Jim Newman             Mike Massimino,STS-109/          HST-3B,03/07/2002,7:30,HST servicing.  Replaced faint object camera (FOC) with advanced camera.  Installed electronics support module in aft shroud.  Completed PCU cleanup.
122,USA,John Grunsfeld      Rick Linnehan,STS-109/          HST-3B,03/08/2002,7:20,HST servicing.  Installed NICMOS cryo cooler and radiator.   Installed new outer thermal blankets.  
123,USA,Steve Smith            Rex Walheim,STS-110/8A,04/11/2002,7:48,ISS based EVA.  Lab-SO cables connected.  Aft tray req'd 2 crew to deploy.   Lab-S0 fwd struts installed.  
